,아이디,댓글 내용
58,  Hanbe_Healing Music,'문자가 있었으면 보냈을거야 무조건' 한다는 규민 말에 해은이가 '그럼 나 처음 받는거였는데'... 왜이리 아플까..백번 돌려봐도 눈물난다..기다리던 문자가 받을수 있었는데.. 왜 항상 이렇게 타이밍 안 맞을까..항상 너무나 아쉽게도.. 해은이 일찍 들어갔으면 달라질 수 있었는데.. 둘이 조금 일찍 둘만의 데이트 했었으면 달라질 수 있었을텐데.. 진심 다한 해은의 사랑은 이제 끝이구나.. 너무 아프다.. 둘다 정말 예쁜 사랑을 했기에 이게 끝인걸 너무나 아쉽고 평생 못잊을것 같은..마지막 대화인게 보는사람도 가슴 아린다. 그마나 서로 '잘가' 라고 하고 떠나는 사람 세상 몇명 있어요. 마지막 서로 눈 맞추고 보낼생각 하니 그 장면 너무 예쁘고 그림 같다가도 너무 아프다 ㅠㅠ어른나이부터 정말 이쁜 사랑은 했고 둘다 이제 다 어른이되어서 예쁘게 끝내는것도 어떻게 보면 나는 너무 부럽다. 어쨌든 둘다 평생 못 잊을 첫사랑일꺼야. 가슴속에 묻고 둘다 꼭 행복했으면 좋겠다. 처음에 해은 걱정했었는데 이제 촬영 끝나고 방송 보면 규민 걱정된다.. 나를 항상 향했던 사람은 저렇게 힘들고 아프고 매일 나때문에 울던 해은이를 보면 얼마나 아플까 싶다..죄책감 안 들었으면 좋겠어. 해은이 한말처럼 '괜찮다고 다 지났으니까'ㅠㅠ
59,  유유유유유유,해은이가 매번 규민이를 자신의 그림자같은 존재였다고 말할 때마다 그냥 그런가보다..싶었는데 마지막 순간에 해은이가 규민이를 놓고 규민이가 자동차 헤드라이트로 뒤에서 해은이랑 현규를 비춰주는 걸 보면서 아 규민이는 정말 해은이의 든든한 그림자구나하는 생각이 들었어요. 규민씨도 이제 좋은 분 만나 더 솔직하고 더 드러내는 사랑 하시길!! 아 이제 금요일마다 허전해서 어떡하나ㅜㅜㅜㅜ
60,  밍,세상에 완벽한 사람은 없고 환연이라는 프로그램을 통해 다들 양면을 보여줬다고 생각함..그치만 규민이는 해은이한테 정말 평생 잊지못할 좋은 남자친구일 것 같은...ㅠㅠ 너무 좋은사람이다
61,  미니미니,8년 연애를 마치고보니 저 둘의 마음 너무너무너무너무 이해가 가서 오열하면서 봤던 장면.  가장 가난하고 가장 예쁘고 순수했을 20대를 함께보낸 사람을 보내는건 쉽지않다 하지만 정말로 사랑했으니 응원하며 놓아주는 것 뿐...평생 잊지못할 사람일거예요
62,  비비빅,연애 프로그램 중에 제일 행복한 결말 같은데 규민이 때문에 뭔가 마음이 아프달까 ㅜㅜㅜㅜ 여튼 다정하고 좋은 사람이야 규민이는.. 규민이 해은이 행복만 해 
63,  두왓유럽 DoWhatYouLove,진짜 사랑이란 인연이란 추억이란 시간이란 다 뭘까….ㅠㅠ 규민이도 해은이도 그냥 다 앞으로 행복해라
64,  ???,규민이는 사실상 계속 내내 해은이를 위했네 물론 자기감정도 섞여있었겠지만.. 진짜 눈물버튼이다 이 커플..
65,  두릅,9:30 여기 왜이리 슬프냐 진짜…내가 규민이었으면 죄책감 ㅈㄴ 들었을듯…눈빛보니까 규민이도 느낀 것 같긴해…아 그냥 너무 슬프다
66,  ???,"규민이 많이 티안내고 마지막까지 있었네,,,, 진짜 눈물 너무 난다"
67,  남궁찬,오늘 유일하게 계속 눈물 흘리면서 본 장면이네요 해은 규민 모두 수고 많으셨습니다앞으로는 둘 다 행복하기를…
