,아이디,댓글 내용
1114,  김또비,다 보고 나니까 희두 너무 이해 감...ㅠㅠㅠㅠㅠ
1115,  김나은,아 ㅋㅋㅋㅋㅋㅋㅋㅋ지켜나가면되는거야하는데 나연이가 어딜 ㅌㅌㅋㅌㅌㅋㅋㅋㅋㅋㅋ아진짜웃긴다 ㅋㅋㅋㅋㅋㅋㅋ
1116,  Zn,하 제발 이제는 행복하십시다….!!! 행복하세요
1117,  luzio Didal,하고싶은말 다 해놓고 나쁜말 하기 싫다는건 대 체 뭐지.....
1118,  이민우,아니 이제는 웃기다 그냥 ㅋㅋㅋ
1119,  뚜비둡,희두는 진짜..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1120,  o.o,결과 다보고 보니까 진짜 존나재밋다ㅋㅋㅋ근데 싸울때 말은 둘다 누가누가 상처주나 대결하고 있는데 손 가만 못두는거 캐룻김ㅠ
1121,  ㅇㅇ,아나운서라서 그런가 나연 말 ㅈㄴ 잘함ㅋㅋ
1122,  룡룡,누가 더 잘하고 못한건 없는거 같은데 나연이는 진심으로 사랑하는 사람이면 이게 나야 보다 상대가 싫어하는 행동 안하려고 할거고 희두도 진심으로 사랑하는 사람이면 그 자체마저 다 포용해줄듯
1123,  김유나,"난 희두님 말이 좀 이해되는데 다들 자존심이라고만 하셔서...나연의 끝낸다, 잘 해볼 맘이 없다.의 말은 연인사이에 꽤 무게가 큰말이며 의미가 있게 사용되야한다고 봄. 그렇기에 그 말을 내뱉은 후에 진행하는 대화는, 희두입장에서 대화란 관계의 진전이나 해결을 위해 되어야하는 것인데 끝을 내겠다면서 무슨 대화를 계속 하냐는 뜻으로 이해 됨. 나연은 해결을 위해 대화를 원하는 것처럼 보이지만 중간중간 상대에게 내뱉는 말이 아주 강함. 관계단절을 말하는 그말들이 본인에게는 기분이 상했다는 해석이 내포되었을지라도 그건 본인의 해석이지 워딩자체의 해석은 아님. 중간에 잘해 볼 맘이 사라졌어, 근데는 재회는 원해 라는 모순적인 말의 반복을 희두입장에서는 한가지로 정리하고 대화를 원하는 것처럼 읽힘. 재회를 원한다면 끝이다, 우린 안된다라는 말이 공존하지 않아야하고 끝을 바란다면 더이상의 대화는 무의미한다는 말을 하고 싶어함. 대화를 혼돈으로 끌고가는건 나는 나연이라고 봄. 대화의 단어 분위기보다는 그 내실을 중요하게 생각하는게 나연이고, 희두는 겉 프레임의 설계부터가 중요한 사람임. 가스라이팅이라는 단어는 이경우는 아니라고 봄"
1124,  미상히,결국 둘은 재결합했는데 댓글에 희두파 나연파 아직도 남아서 싸우는거 개웃기넼ㅋㅋㅋㅋㅋ
1125,  냠냠,꼬투리 잡아서 어떻게든 이겨먹으려고 비난하는 거 진짜 숨막힘..
1126,  일화,"희두 앞에서는 바보가 돼버리는 나연이, 나연이 앞에서는 군대조교가 되는 희두보면서 똑똑하고 매력있고 예쁜애랑 사람들 잘챙기고 유쾌하고 멋진 애가 서로 잘못만나면 저렇게까지 사람이 별로가 되는 구나 느꼈음. 희두는 나연이만 아니면 모든 출연자들한테 너무 든든하고 좋은 인간이고 나연이는 희두만 아니면 모든 출연자들한테 사랑스러운 인간임. 둘이 도대체 왜 쳐 만날라하는지 이해가 안됨"
1127,  루룰,이 둘이 젤 재밌음
1128,  abigail kim,묘하게 잘 어울리네요
1129,  KMS,지금 이 상황만 보면 희두가 정상으로 보이니까 한번 환승연애를 첨부터 보고올게요
1130,  D0,나연 딕션이ㅋㅋㅋㅋ 자막자동재생키면 똑같이 나옴
1131,  고덕동에일리언,4:21 말도 웃겨
1132,  B lah,진짜 나연 똑똑하게 말 너무 잘함..ㅠ 희두는 그냥 대화가 안 통하는 느낌 ㅠ 고치고 행복했음 봏겠네요.. ㅜ
1133,  미경 김,그리고 막대한거 맞음사람들 앞에서 정말 비참해지는 느낌그런 대잡받지 마요
1134,  너굴마왕,제일 피하고 싶은 유형뒤 - 어쩌고 저쩌고~앞 - 하잉~ 언니 너무 좋아요!
1135,  데인,ㅠㅠ그냥 너랑 잘 해보고 싶은데 그런 마음이 싹 가시고 그냥 포기하고 싶을 정도로 너의 말들이 타격감이 크고 그런 태도에 상처받는다~ 라는 말을 야 너랑 잘해보고 싶은 맘 사라졌어! 라고 하는 건데ㅠㅠ 물론 진짜 보이는대로만 얘기하면 나연이 말을 번복했고 그러니까 말 장난한 것같이 들릴 수야 있지 횡설수설 했으니까. 근데 희두는 그거 가지고 꼬투리 잡아서 표현가지고 이랬다 저랬다 장난하냐고 화내네 감정이 격해지면 사람들 할 수 있는 말실수 가지고선....희두가 어른스러운 사람이었다면 차근차근하게 너 지금 흥분해서 말이 꼬이는 것 같은데 정확하게 어떤거야 라고 집어서 다시 제대로 전달되게끔 유도하면서 대화 이끌어갔겠지 물론 희두가 나연보다 어른스럽지도 않고 그럴 필요도 없는데 (현재는 희두가 더 애같다는 여론도 많음 난 이쪽에 공감함 적어도 나연처럼 사랑앞에서 자존심부리는 거 포기하고 그러지 못하니까) 지는 매사에 어른스러운 사람인 것 마냥 나연이를 존나 혼내ㅠ 개뭐라해 사람을 인정 못하고 바꾸려 드는 거 자체가 아직 사람과 관계 맺는 게 어떤건지 모르는 거임 ㅠㅠ
1136,  아무고토하기시조,1. 잘해보고싶은 마음이 없어졌지만 아예 없진않다는 나연당장 싸우면서 기분이 나빠 너무 헤어지고싶지만 막상 진짜 헤어지게 될 것같으니 두려운 심리때문에 횡설수설하며 스스로 모순에 빠짐2. 이게 쉬워보여? 이게 지금 쉬워보이냐고!끝내자고말하면서 막상 끝날거같으니 마음있다고 붙잡으려는 나연은 화가나면 끝내자는 말을 쉽게하는 사람으로 보임근데 막상 본인이 그렇게 감정이 휘둘려 쉽게 말을 내뱉는 사람처럼 보이기싫은지 넌 끝내잔 말을 진중하지못하고 ‘쉽게’ 한다라는 희두의 말에 꽂혀 갑자기 발끈함3. 너나 나나 똑같애안똑같음희두 - 논리형나연 - 감정형
1137,  Happy fam,이 둘을 개그맨들이 따라하는 영상이 있었는데 넘웃김
1138,  비비Bibi,끝나구 이쁘게 사귀고 그러는거 보니까 이랬던게 다 걍 전생같음
1139,  이면수냥냥,나는 여기까지는 희두입장에서 더 이해됨ㅠㅠㅠㅠ
1140,  ㅇㅅㅇ,희두 반성했음ㅜ 다들 예쁘게 봐주시길ㅜ
1141,  ㅋㅋ,희두 ㅋㅋㅋㅋㅋ 나연이 애매한 행동때매 나연이가 자기 보는 앞에서만 자기랑 재결합하고 싶어하는척 하는 거 같아서 흑화한거였음
1142,  리카고,아 둘이 너무 잘 어울린다 그러니깡 서로 결혼해서 평생가자 방생하지말고 둘다
1143,  안효은,희두나연 뽀레버~~
1144,  여왕잉,연인관계에서 말싸움 이길려고 하다보면 상대방은 지친다 그냥 서로의 잘못 인정하고 바로바로 사과하고 끝내는게 서로가 편하고 좋은 연애할수있다
1145,  뽀미,둘다 다른 성향의 사람을 만나야 될듯..
1146,  최명수,얘네땜에 예능이엿지 ㄹㅇ ㅋㅋ싸우는거 개웃김 이 커플 없엇으면 재미 반감됏음 싸우는거 티키타카 지림 ㅋㅋ
1147,  Яна _,둘이 사랑해서 싸우는게 눈에 보여서 안타까웠다고 해야하나? 서로 솔직하면 좋을텐데ㅎㅎ 좋아해 사랑해만 말하면 좋을텐데 이런생각 들었음ㅋㅋㅋㅋ 다시 만나서 넘 다행이야..
1148,  호호너구리,둘다 이해되고 너무 극과극 같음
1149,  KWANGKO,후회가 남지 않게 불같이 사랑하고 불같이 싸우면서 반복하다 보면 답이 나오겠죠. 아직 사랑하니까 싸우는 걸 거예요. 멋지지 않나요? 얼마나 사랑하면 저렇게 치열할 수 있는지.
1150,  진현,처음 봤는데 저 남자분 덕에 자신감을 얻었다.. 미인을 만날수 있을
1151,  민영 박,희두 가스라이팅 신이네ㅋㅋ가스라이팅 배우고 싶으면 희두처럼
1152,  이자시가,나연은 자기 감정을 너무 잘 파악하는 사람이고희두는 자기 감정에 무딘 사람이여서 그런거 같음희두도 사실 나연 엄청 좋아하면서 상처 받을까봐 자기 마음을 외면하는 느낌
1153,  Orange,근데 클립들만 보면 나연이가 불쌍해보이는데 전체적으로 보면 희두 마음도 이해가긴함. 초반에 규민이랑 데이트하고 태이 안았던 사람이 나중에 와서 자기랑 재회를 원한다고 하니까 앞뒤가 안맞고 말만 하는것처럼 보일것 같긴함.. ㅠㅠ
1154,  다람쥐,어제 범계 롯백갔다가 버스정류장에 희두 안양 하키 응원 광고있는거 보고 깜놀했음 ㅋㅋㅋㅋㅋ
1155,  뇽이뇸,희두 회피형 = intp = 회피형 스타일
1156,  호두,아니 같은 입장이 아니고... 헤어지고 희두는 이미 지친 상태같고..어떻게 보면 둘사이 현재 갑인 입장이라서.  나연이 희두한테 마음이 있으면 먼저 행동으로 신뢰가 가게끔 보여주면 되는데 그렇지 않으니 성이 안차고 말은 매번 왔다갔다 하니까 희두입장에선 앞뒤다르다  소리가 나올수밖에... 너도 지연어쩌고 하지만. 아쉬운게 나연이니 나연 먼저 직진모습을 보여줘야지뭐.  자꾸 희두한테 나는 너랑만나는게 베스트야 할거면 말로만 말고 진심으로 진짜 희두만 보면 되는데. 다른사람이랑 데이트니뭐니 할필요도 없고...굳이 그렇게 하기 싫음 그냥 이러쿵저러쿵 내감정 말할필요없이 끝내면 되는거고.근데 이것도저것도 아니어보여. 나연은
1157,  gjmzu,니두 그러자나니두  희두  ㅋ ㅋ ㅋ  나연이가   니  니  하는거  웃기다숨막힌당   진짜  잘싸운다
1158,  김선비,숨 막히네. 진짜.
1159,  말랑망개지민,나연이가 저렇게 희두한테 맨날 무시 당했다가 이번에는 좀 화 내보고 이겨보겠다고 한 건데 사람이 착해서...얼레벌레 끝난듯
1160,  ANNIE,ENTP과 INTP의 논리적인 개꿀잼 대화
1161,  이동환,저래 싸우고 나연 다른방 가면하잉~ 이럼 ㅋㅋㅋㅋ뒤끝 1도 없음 ㅋㅋㅋㅋ
1162,  kk jj,희두 남들 앞에서 무시하고 막 대하는 건 맞아! 이번 방송을 보고 바뀌었을 거라 믿어요!
1163,  Hardy jeff,결론 : 태이 안아서 희두 삐짐
1164,  주희,나랑 내 남친이랑 너무 똑같아서 소름돋고 보기만해도 ptsd 오고 눈물 남 .. ㅎ 왜 서로를 상처줄 것을 알면서도 똑같은 패턴으로 싸우고 자존심 하나 못 꺾을까 결국에는 내가 다 포기하고 다 내려버려도 “그거 아니야” 하면서 끝까지 이겨먹으려고 하는 .. 이래놓고 좋을 때는 또 엄청 좋고 서로 .. 힘들어 ~
1165,  달루,대화하고 있는데 '말장난 하기 싫다' '내가 나쁜 놈 할 테니까 계속해' '그게 니가 애 같다는 거야' '니가 싸우려고 들어' 자존심 백 날 부려봐라' '하.....  진짜 몰아세우는 게 생활인 듯 언뜻 보면 둘이 싸우니 둘 다 문제다 할 수 있지만 내용을 잘 들어보면 아님 나연이 이상하고 자기는 문제가 없다고 생각했겠지만 방송이랑 댓글을 보면서 자신이 어떤 화법을 쓰는지 느꼈음 좋겠다
1166,  사랑할수밖에없는멍이,희두 회피형 애착 성향 아님?
1167,  이수만발닦개,전설의 나연희두 싸이퍼
1168,  샤이나,"며칠 전부터 계속 이 커플 동영상만 주구장창 보고 있음... 너무 편향적인 동영상만 봤는지 희두가 너무 답답해... 서로 서로 안 맞는 부분들이 있어서 싸웠겠지만 진지하게 한 번 해결해보려고 대화 청하는 사람이랑 왜 기싸움을 하지?? 자기 여친 무조건 지 말만 들어야 한다고 통제하려는 거 너무 답답해... 나연이가 솔직하게 아직 미련 있다는 마음 털어놓았는데 그걸 아싸리 약점이라고 생각하고 바로 ""잘 지내고 싶다는 사람이 이렇게 해?"" 이러고... 자기도 나연이랑 대화하고 엄청 울고 그랬으면서 미련 아예 없는 사람인 척 그러네... 근데 진짜 미련이 없으면 저렇게 길게 대화 안 하지."
1169,  엄해임,근데왜이렇게까지살까..? 이게 사랑이야?ㅋㅋㅋㅋ
1170,  숌 굠,잘잘못을 따질 건 없다만 나는 희두 말이 더 납득이 됨... 상황도 희두 상황이 훨씬 이해 되고 나연이 핀트 나갈 때마다 희두가 빡빡 잡아주는게 속시원하다고 해야하나
1171,  love사랑,저도 이런 연애 오래 했는데 결국 헤어지게 되저라고요 시간이 지나고 왜 그리 오래 인연을 잡고 있었나 싶고ㅠ
1172,  rkatk,"희두는 나연이 태이를 안은 일을 계기로 나연에 대한 반가움으로 착각했던 감정을 다시 이성으로 바로 잡은 것 같다나연이라는 사람이 나쁜 사람이라고 생각하는 것도 아니고 그 행동이 큰 잘못이라고 생각하지도 않지만, 그냥 그 계기로 조금 남았던 신뢰마저 깨진거 아닐까예전에 지연이랑 데이트할때 신뢰에 대해 언급하던데 아마 희두에게 연애에서 가장 중요한 가치가 신뢰인 것 같다X룸때 나연도 자기에게 미련 있어보이고 자기도 미련 있어서 잘되는 기대를 했지만, 그게 깨지면서 실망감과 속상함에 나연에게 더 날카롭게 대하는 것같음나도 연애에서 신뢰가 가장 중요해서 그런지…희두가 너무 이해된다"
1173,  hoebakgoguma,ㄹㅇ가스라이팅
1174,  종인아 나는 너가 정말 좋다,희두는 아는 거임 자존심 어거지로 부리는 나연을 받아주면 얘가 나한테 바라는것들을 다 들어줘야 한다는걸 이렇게만 봤을땐 희두가 얘기하기 싫어 하는것 처럼 보이겠지만 나연이 화법? 나도 그렇지만 너부터 바꿔 이러는게 진짜 진절머리가 남 얘기 하기 싫어지는 타입
1175,  김인식,결혼하면 장난 아니겠다싸울일이 한두가지가 아닌데
1176,  쀼-리,"이거 말장난으로 보이면 희두같은 애한테 가스라이팅 오지게 당한다 딱보니까 희두 지얘기 안하고 나연이 말 꼬투리 잡아서 나연이는 사람이니까 시시때때로 이랬다저랬다 감정이 왔다갔다하고 상황이 안좋아졌을때 다시 대화로 풀어보려고 시도하는걸 변덕으로 치부해버림 (결코 시비건것도 아니고 매번 먼저 잘해보려고 말걸고 표현하는게 나연인데)거기서 나연이 말문 막히면 기다렸다는 듯이 본인이 팩트로 때려버렸다고 착각하고 바로 심화과정으로 비난 난사해버려 나연의 멘탈 깨트림(안그래도 나연은 그런뜻으로 한게 아닌데 얘가 몬소리를 하는건지 파악 할 시간이 필요한데)근데  대화자체가 계속 그럼.희두는 나연이 특징들을 계속 함부로 부정적으로 표현함 (나연이 말 한마디에 상처 잘받는게 취약점인걸 알고있음)-> 나연 말문 막힘 ->희두 팩트 때렸다 착각 ->역시 내말이 맞고 넌 항상 이래저래 비난. ->무한 반복 반대로 나연이가 희두한테 솔직한 마음과 생각에 대해서 물어보면 오히려 뭐가? 왜? 그거까지 니한테 말하고 싶지 않고,니가 그걸 왜 알려그래? 하면서 역질문.결국 애초에 속마음을 자존심때메 또희두자체가 나연이 말을 꼬투리잡아버릇하니그걸 아는 희두는 본인이 말을 많이하면 꼬투리 잡힐걸 아니 너무나도 당연하게 회피함. (한두번해본솜씨가 아님) 정작 본인도 실언 ㅈㄴ많이함.회의해서 데이트 상대 정하는걸 지맘대로 나연이 의사 상관없이 나 지연이랑 할게 . 이렇게 이야기하는거 무례한거고 그거 나연이 기분나쁠거 알고 건든거 딱봐도 보이는구만 이판사판; 아 내가 다 짜증;나연이가 지 좋아하고 착한걸 너무 잘알고지가 교활하고 비겁하고 내로남불 심한건 모름아 희두진짜 왜저러냐 색기가;;.. 똑똑이 콤플렉스 있는거 같은데"
1177,  은뇨꾸엘프,희두 귀에서 나연 말이 퉁 퉁 튕겨져 나가는 것이 보이는 기이한 현상ㅋㅋㅋㅋㅋ ㄹㅇ 대화 안 통함
1178,  니말이 다 맞다,"희두 왜 좋아하는거지,,,,,,,,,,,? ,,,,? 대체 왜,,,,? 둘이 왜 다시 만나,,,? 나는 이해가 안가"
1179,  Arielle Green,희두랑 지연이가 진짜 잘 맞을 거 같은데
1180,  깐부,그냥 부부싸움 같네요 도장 찍자 찍어도장 가지고와 이 말을 반복하는 느낌서로 소중히 대하면 되는데 그게 참 어려워요
1181,  퉤퉤트ㅔ,희두랑 지연이 베스트야 그냥
1182,  쟤쟤,희두가 하는말 하나하나 다 맞는말이고 팩트임
1183,  Jacob Austin,나연이같은 사람만나봣는데 진짜 너무힘들고 스트레스받아요 처음부터끝까지 다챙겨줘야하고 똥싼거 다치워줘야하고 에효 진짜 지칩니다
1184,  룰루랄라,이 장면 말고도 둘이 평소에 대화하는거 보면 희두가 나연이한테 하는 말들이 날카롭긴함 남자인 내가 들어도 서운할거 같던데..
1185,  달님,진짜 가스라이팅이 무섭구나....난 딱 들으면서도 느껴짐.....나같은사람은 그냥 바로 당할거같아 ㅠ나연씨가 대단하다..
1186,  Dogoo,희두 징짜 잘해볼생각없나봐.. 넘 막해
1187,  랄라,희두는 나연이 자기 좋아하고 못놓을거 아니까 저렇게 행동하는 듯.. 그게 아님 아직 자기가 나연 좋아하고 놓지 못하는 마음을 인정하기 싫거나(자존심이 이김) 모르거나... 희두씨 나연씨한테 잘해주세요ㅜㅜ
1188,  하리다,아니 희두야 맘이잇어도 숨기고 다른남자랑 얘기도 하고 데이트해보고 애태우고 환승할까 말까 고민하는게 이프로그램의 이유라고!!는 내맘의 소리..희두는 이제 알앗을까
1189,  조 Genevieve,저때 희두는 그냥 삐져있었던 거다..
1190,  냥냠,4:08 여기서 나연도 대답을 못하는게 답답함 본인도 그대로면서 희두한테만 너그러워지라고 포용하락하고 다같이 있는 자리에서 민망하게 만드는거는 희두 잘못이지만 진짜 그만큼 많이 쌓인거같은데 반복되고 처음에는 다정했겠지 근데 딱히 조심도 안하고 말도 나연이가 나연이했네라는둥 이런 모습도 좋아해주는 사람도 있다는둥 속터지는 소리만 하니까 변화가 없는거지 말도 앞뒤가 안맞고 자존심은 다부리고 희두가 받아줄 기미가 안보이니까 끝에가서는 진심 실토하고 행동이 일관되고 조심하는 모습이 있었다면 난 희두가 자연스럽게 변화되고 본인도 변화해야겠다는 스탠스를 취했을거 같음
1191,  이마크여친,난 모쏠이여서 이들의 대화가 신기하다...
1192,  Christianlife,"서로 성격이 안 맞는거고, 이 커플은 감정의 골이 이미 꽤 깊어져서 재회하지 않는게 좋을 듯"
1193,  곰프로,얘네 왜케 웃기냐..ㅋㅋㅋㅋㅋ 재회했더라도 오래는 못 가겠다.....
1194,  maum,나연 싸우는 와중에도 왜캐 사랑스럽노
1195,  센치하네,둘이 사랑한다고 말하자나ㅜㅜㅋㅋㅋ결국 둘일줄알았어ㅋ요즘 여친이랑 희두나연 빙의해서 노는중
1196,  real hala madrid,문제가 뭔지 해결할 생각을 해야지서로 자존심세우고 말싸움하면 끝이 안남
1197,  쩔222,아ㅠㅠㅠ 기니피그랑 햄스터랑 싸우는거 같아ㅠㅠㅠㅠㅠ
1198,  미경 김,나연씨가 내딸이면  절대 반대입니다포용력 배려심  부족한 남자는만나면서 마니 슬퍼져요저렇게 속마음 진지하게 애기하지 못하고  말꼬리 잡는 남자  교제하지 마요제발나연씨 너무 이쁜데 안타깝네요
1199,  ㅁㅅ,처음엔 나연이 너무 철없는 행동을 한다고 생각했는데 이거 보고 진짜로 희두가 너무 이해가 안 되기 시작함ㅋㅋㅋㅋㅋ 아니 뭐 지금은 다시 예쁘기 만나서 좋다구.. 싸우지 마..
1200,  은하수,희두는 자기여자한테는 티격대고 다른 여자들한테는 상냥해~~;; 이건 반드시 고쳐야할점. 방송보고 희두가 느끼고 고쳤으면 좋겠다!!
1201,  김쭝지,"난 둘이 싸우는 것만 보고 희두가 연상인 줄 알았음 너무 가르치듯이 얘기하고,,,,, 근데 연하여서 너무 충격받음 하지만 그냥 질투 때문에 악귀에 들렸다고 생각하기로 함"
1202,  인,"내가 나쁜 놈 할테니까 가 너무 킹받는게결국 반대로 자기가 희생자, 피해자 역할 하겠다는거잖아.. 상대가 날 괴롭히고 있고"
1203,  iiiiiiiiiiiiiiiiiililiii,헤어져 제발서로 악연임
1204,  김현진,너전달법이 아닌 나전달법을 알면 좋을 것 같아요!상대에 대한 비난보다는 그 상황에 처했을때 내가 어떤 마음이였는지 어떤점을 바라는지를 말하는게 서로에게 상처되는 말보단 더 좋을 것 같아요.
1205,  KL,여기서 나연이맞다 희두가 맞다 둘중 하나로 가르는 사람들은 아직 관계나 사람에대한 이해가 부족한거임. 아무리 논리적이다 뭐다 해도 삼년 사귄 전애인 앞에두고있으면 사람 마음이 이진법처럼 0과1로 나눠지는게 가능할거라생각하나 다들? 그런면에서 나연이 이랫다저랫다하는건 충분히 인간적임. 오히려 순수한거지. 다만 희두같이 미련 못버린입장에선 그게 답답해보이고 질투나니 이겨먹고싶고 논리적접근으로밖에 이길 방법이없으니 나연의 갈대같은 행실을 꼬집는거임. 희두가 환연이라는 프로에 쳐나와서 사람 마음 yes or no 만 묻고있으니 그거도 어떻게보면 비논리적이지. 남녀 사람이 섞여 사랑 싹트는곳인데 무슨 ㅋㅋㅋ. 근데 나연이는 태이나 규민처럼 확실히 노선 정하지않고 여기저기 왔다갔다 하는 거도 보기좋은모습이 아니긴했지. 비논리적인걸 떠나 의리라는게 있으니.
1206,  블루밍??,각자 삶에 충실하자 둘다 불이다 상극
1207,  Ima,난 그냥 이 영상에서 저 둘 룩 밖에 안보임.. 둘다 화이트화이트하고 아이비리그 커플마냥 세련되게 잘 입어서
1208,  난살구,도데체 이게 무슨대화야..
1209,  MignoN K,희두 잘해라. 너가 99퍼 잘하면 나연이 1프로만 받아주고 널 대해주면 됨 ㅠ
1210,  MINJEONG KIM,나연씨 그냥 헤어져요.본인하고 안맞는 남자에요. 평생 서운하고 슬플거에요.
1211,  jinny K,이날 테이블 영상에서 나연이 틴트를 규민이랑 나눠써서 희두가 열받은거 같은데~
1212,  구름,나연이는 말 쉽게해버리고 본인이 한 말이랑 다르게 행동하는 모습보면 애인아닌 주변 친한 친구들도 결국 실망하고 상처받고 신뢰깨짐
1213,  밍밍,희두은근히 가스라이팅하는데 자존감 진짜 낮나보다 
1214,  루디샤,찌질한 가스라이팅 1위는 규민   나연을 이겨먹기 바쁜 고집불통 1위 희두 가장 훌륭한 남자는 현규 1위  압도적 1위 그다음은 2위가 태이 여자중 가장 착한 여자  1위 해은가장 솔직한 여자  나연 많이 성숙해진 여자 나언 안타까운 남자  원빈
1215,  Sa N,요약 : 널 아직 사랑한다
1216,  야붕,논리vs비논리
1217,  ㅇㅇ,나연은 그냥 희두가 좀 더 다정히 대해준다면 재회하고 싶고 다시 만나고 싶은데 희두가 헤어졌을 때 그대로니까 그냥 아 그러면 여기 있는 사람들이랑 잘 지내봐야겠다해서 여기저기 따라다니다가 다정하게 잘 해주는 규민한테 약간 설레고 했던거고 희두는 그런 모든 행동이 가벼워보이고 자기랑 다시 만나고 싶은 마음 없어보이고 하니까 열받는데 자기는 좀처럼 눈에 나연만 밟힘 질투 존내남 그러다가 약간 이상형쓰 지연이 보여서 놀았는데 생각보다 잘 통하고 재밌으니까 마음이 간 것 같음 결국 서로 좋아해서 다시 만나고는 싶은데 서로 고치라고 싸우니까 나아지지가 않는거지
1218,  허,희두야… 잘해라.. 형이 객관적으로 봐도 자존심은 너가 부리고.. 철없는건 너인가 같다… 제발 변화 됏음 좋겟고 지금 혹시 이미 변화 됏거나 변화중이라면 혹여나 다시 과거의 너로 돌아갈거 같으면 환승연애2 정주행 부탁한다… 둘이 행복해라
1219,  ㅎ,"1:17 잘해보고 싶은 마음 사라졌어1:26 아예 없어지지 않았지, 사실 마음 있지1:33 어 그래 없어졌어나연님이 하는 말은 앞뒤가 안맞고 계속 꼬인다ㅋㅋㅋㅋ 진짜 대화가 힘들다ㅋㅋ"
1220,  삭슥,ㅋㅋㅋㅋ나연이는ㅋㅋㅋㅋ 대화라는걸 살면서 제대로 해본적이 없구나..
1221,  天使,쇼미인지 환연인지
1222,  너구리,진짜 개같이 싸우는데 참 잘 어울린다…
1223,  리미라유,나연이는 말 장난 맞는데 ..
1224,  ??,이게 그렇게 유난이던 환승연애군아.. 걍 둘 다 존나 떽떽대는데 씁
1225,  뚜비뚜밥,저럴거면 왜 다시 만날 생각함? 미련터지네 ㅋㅋㅋ
1226,  어금니깍물어,아 개짱난다 ㅋㅋㅅㅋㅅㅋㅋㅋ ㅠㅠㅠㅜㅠㅠㅠ으아앙 나연이 도망가주라ㅜㅜㅜㅜㅜ으아아아아아앙
1227,  시공간Si-Space,ㄹㅇ 상여우 나연. 이랬다저랬다 말바꾸면서 데이트 할건 다해서 규민과의 끈도 놓지 않음. 희두도 휘두르고 문자 0표 한번도 안받고 결국 원하는대로 희두랑 커플됨
1228,  이현,아...진짜 저렇게 화났을 때 저렇게 화내주면 너무 이쁘다...여자인데 적당히 논리적으로 말해주고... 감정적으로 ㅈㄹ떨면서 소리지르고 난리치면 ㄹㅇ 그냥 와...그냥 ㅈ나 패버리고 싶어서 대화하기가 싫음
1229,  조이,난 환승연애 안보는데도 희두 왤케 딱밤마렵냐 ㅋㅋ 말투가 진심 그냥 가스라이팅 그 잡채...
1230,  진저,ㅋㄱㄱ존나 나랑 남친같다 반복됨 하ㅠ
1231,  salihfdsijl,이 장면만 보면 여자가 말꼬리잡고 늘어지는게 맞는거 같아요저도 여잔데 진짜 저런사람과 싸울때 이성적대화가 안돼서 울고싶음왜 남자한테만 자존심덩어리라하는지 모르겠네요
1232,  여름,이때는 희두가 ㅈㄴ 빡칠만함 나연한테 기대하고 입주하자마자 규민이랑 꽁냥 + 희두한테 맘 없다는 인터뷰+ 태이 백허그
1233,  일화,희두 처음왔을때 나연은 규민이랑 이미 감정선이 있었고 그래서 희두가 나연이 무슨생각으로 나왔는지 다시 잘해보겠단 맘이 아닌건지 관계 방향성에 대한 대화를 했고 희두는 나연이 새로운사람 만나려는 걸로 알고 대화를 마침-이 스탠스가 기초적인 방향성으로 잡혀서 마지막까지 나연이 자기 고를거란 생각을 못한거. 그런데 이후로 나연이가 새로운 사람만날거라는 스탠스에 맞지않게 희두를 신경쓰고 나연자신에게 신경쓰기를 희두에게 바람. 여기서부터 혼란임. 그래서 자꾸 둘다 얘기가 엇나가는거. 출연의도나 관계 방향성을 애초부터 정리해놓고 가려고 했던 희두와 그냥 열어놓고 감정에 충실했던 나연이라 대화가 통할수가 없음. 사실 프로그램취지에는 나연이가 맞다고 볼수도 있는데 관련 룰이 있는 건 아니니까 희두가 정리해놓고 가려고 한것도 감정이나 멘탈에 혼란을 주지 않는 방법이기도한듯(나연이 처음 설정한 스탠스를 유지하려고 노력하지 않아서 더 혼란이었지만 서로 유지한다는 가정하에는 혼란이 덜한 방법).그것과 별개로 희두가 나연을 대하는 태도는 문제적인게 맞다고 생각
1234,  위로,하도 봐서 외울 지경
1235,  이소영이 미래다,둘다똑같애 ㅋㅋㅋㅋ
1236,  ??,나연이 희두 말고 더 좋은 사람 만났으면 좋겠음 … 자기 진심을 말 안하고 회피하는 희두 같은 경우에는 나연이가 계속 상처받을 수 밖에 없을 듯
1237,  SU MU,근데 나연은 잘해보고 싶은거면 실제로 행동으로 보여주고 너랑 잘해보고 싶다라고 해야지 다른 남자한테 왔다갔다하고 끝내자는 말 쉽게 내뱉고 이랬다 저랬다 하는데 상대방이 움직일 이유가 있나..? 둘 중 하나가 노력을 해야하는데 최선의 노력도 안해놓고선 너도 똑같네 어쩌네 하면 별로 마음이 움직일 수가 없을듯
1238,  이유,"방송 안본 사람들은 말을 마셈ㅠ 희두 진짜 복창 터지겠음 나연을 너무 막대해서,,"
1239,  불편러가 세상을 망치는 중야~,나연언니 그냥 나한테 와ㅜㅜㅜ
1240,  초연,asmr 하려고 들어왔는데 궁금해서 봤더니 잠 확 깨버림...
1241,  Bbul,난 희두가 이해간다 희두는 끝이라느니 마음이 없어졌다느니 하는 말을 지킬생각없으면 안하는 성격이라 나연이가 이해가안가는거
