date,title,content
2022. 8. 20.,환승연애2 이부분 보면 최종커플 규민나연 될것같은데 - 인스티즈,앞으로 남은 데이트도 둘이 할것같고 (예고에 둘 데이트하는 장면 안나온게 더 있음)짤 앞에 두개 X생각 안하고있어 / 미련없어 자막 목소리 규민마지막짤은 나연 ...
2022. 7. 16.,환승연애2 출연자 나이 - 인스티즈(instiz) 익명잡담 카테고리,"규민,이현-94원빈-빠른96태이-96지연-빠른00이라는 썰이 있대."
2022. 8. 28.,[환승연애2] 좋은 의미로 난리난 원빈X해은 데이트 - 인스티즈,등장부터 무슨 웹드라마 비주얼반말하는 연상녀 존댓말하는 연하남 맛도리이번 데이트는 여출이 데이트 코스 정하는 건데 목적지가 먼 곳이라 자기 먼 데 좋아한다고ㅋ ...
2022. 11. 12,[잡담] 환승연애 2 또다른 여자 메기 스펙 | 인스티즈, 또 들어왔어?환승연애 곧 끝나지 않아? 2개월 전. • ...
2022. 8. 8. ,[잡담] 너네한테 환승연애 캐스팅이 들어왔어 - 인스티즈,"럼 할거야?ㅋㅋㅋㅋㅋㅋ 난 절대 안햌ㅋㅋㅋㅋㅋㅋ 어떻게 해 저걸?ㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠ출연자들 대단해,,"
2022. 11. 10,[환승연애2] 방금 출연진들 사진 올린 현규 인스타그램, 아까 나연 인스타스토리에 올라온 나연해은 투샷도.
2022. 11. 9.,[잡담] 환승연애 이거 뭔 소리야????? - 인스티즈,1 나연 지연 둘 다 희두를 좋아해서 해은을 질투하는 상황임? 환연 안 봄 원래헬스얘기는 또 뭐야 나 헬스장 안 가봐서 모름2 희두는 가서 따로따로 해도 된다니까해은 ...
2022. 8. 31.,[잡담] 오늘 환승연애 요약 - 인스티즈(instiz) (K)POP/예능 ...,그 어쨌든 누군가가 자고 있는데 그 방에 쑤욱 들어와서 화장실(이든 화장실 앞이든) 따라간다는게…거기다가 그 방 드레스룸있어서 여자애들 다 왔다갔다하고 옷 다 ...
2022. 8. 31.,[잡담] 환승연애2 솔직히 규민은 해은한테 미련이든 ... - 인스티즈,편집점을 떠나서 본인입으로 인터뷰에서 말한거 보면그래보여 ㅇㅇ 아래 두짤은 예고에서 자막+목소리 로 나온거.
2022. 10. 4.,환승연애 보는 박막례 할머니 (feat. 환승새끼) - 인스티즈,보기도 전부터 매운맛 토크자세만으로 단번에 해은-규민 관계 파악과몰입 시작귀민이(?) 꼴도 보기 싫어짐ㅋㅋㅋㅋㅋㅋㅋ현규-해은 격한 환영아묻따 해은이가 좋은 ...
